"GameName","AchievementName","AchievementPageURL","Gamerscore","TAScore","TARatio","DLCName","Unachieveable",
"Battlefield V","Enemy Attrition","https://www.trueachievements.com/a263431/enemy-attrition-achievement","15","17","1.15","","",
"ReactorX 2 (Windows)","Level 29","https://www.trueachievements.com/a454654/level-29-achievement","200","230","1.15","Title Update 4","",
"Halo Infinite","Together. Again?","https://www.trueachievements.com/a346427/together-again-achievement","10","11","1.15","Campaign","",
"ReactorX 2 (Windows)","Level 30","https://www.trueachievements.com/a454655/level-30-achievement","200","230","1.15","Title Update 4","",
"Gears 5","My Body is Ready","https://www.trueachievements.com/a282015/my-body-is-ready-achievement","5","5","1.15","","",
"Halo Infinite","Those Wonderful Toys","https://www.trueachievements.com/a346484/those-wonderful-toys-achievement","10","11","1.16","Campaign","",
"King's Quest","That's the Ticket","https://www.trueachievements.com/a203095/thats-the-ticket-achievement","55","63","1.16","","",
"Assassin's Creed Syndicate","Queensbury Rules","https://www.trueachievements.com/a207558/queensbury-rules-achievement","15","17","1.16","","",
"Halo Infinite","Two Sides to Every Story","https://www.trueachievements.com/a346464/two-sides-to-every-story-achievement","10","11","1.16","Campaign","",
"Styx: Shards of Darkness","Morpheus' Blade","https://www.trueachievements.com/a231101/morpheus-blade-achievement","10","11","1.16","","",
"Gabriels Worlds The Adventure (Xbox One)","Fifth Normal Box","https://www.trueachievements.com/a399340/fifth-normal-box-achievement","200","233","1.16","Title Update 4","",
"Gabriels Worlds The Adventure (Xbox One)","Fourth Normal Box","https://www.trueachievements.com/a399339/fourth-normal-box-achievement","200","233","1.16","Title Update 4","",
"Dead Space 2","The Graduate","https://www.trueachievements.com/a146755/the-graduate-achievement","20","23","1.17","","",
"Ord.","Prophecy.","https://www.trueachievements.com/a312339/prophecy-achievement","16","18","1.17","","",
"Assassin's Creed Syndicate","Blade in the Crowd","https://www.trueachievements.com/a207560/blade-in-the-crowd-achievement","15","17","1.17","","",
"Halo Infinite","Ascension","https://www.trueachievements.com/a346428/ascension-achievement","10","11","1.17","Campaign","",
"Battlefield V","Grim Reaper","https://www.trueachievements.com/a263444/grim-reaper-achievement","30","35","1.17","","",
"Insurgency: Sandstorm","Wet Feet","https://www.trueachievements.com/a295858/wet-feet-achievement","15","17","1.17","","",
"Red Dead Redemption 2","Trusty Steed","https://www.trueachievements.com/a262366/trusty-steed-achievement","10","11","1.17","","",
"NBA 2K21 (Xbox One)","Cover The Spread","https://www.trueachievements.com/a308364/cover-the-spread-achievement","15","17","1.17","","",
"Halo Infinite","Zeta","https://www.trueachievements.com/a346429/zeta-achievement","10","11","1.17","Campaign","",
"Halo Infinite","Hidden Experience","https://www.trueachievements.com/a346468/hidden-experience-achievement","10","11","1.17","Campaign","",
"Halo Infinite","Dispatches From the Front","https://www.trueachievements.com/a346462/dispatches-from-the-front-achievement","10","11","1.18","Campaign","",
"ReactorX 2","Level 26","https://www.trueachievements.com/a454261/level-26-achievement","200","237","1.18","Title Update 4","",
"ReactorX 2","Level 27","https://www.trueachievements.com/a454262/level-27-achievement","200","237","1.18","Title Update 4","",
"ReactorX 2","Level 28","https://www.trueachievements.com/a454263/level-28-achievement","200","237","1.18","Title Update 4","",
"LEGO Marvel Super Heroes 2","None Shall Pass","https://www.trueachievements.com/a244126/none-shall-pass-achievement","15","17","1.18","","",
"ReactorX 2","Level 29","https://www.trueachievements.com/a454264/level-29-achievement","200","237","1.18","Title Update 4","",
"ReactorX 2","Level 30","https://www.trueachievements.com/a454265/level-30-achievement","200","237","1.18","Title Update 4","",
"Gears 5","And… He's All Yours","https://www.trueachievements.com/a282013/and-hes-all-yours-achievement","10","11","1.18","","",
"Dead Space 2","Shut Down","https://www.trueachievements.com/a146753/shut-down-achievement","10","11","1.19","","",
"Dead Space 2","Powered Up","https://www.trueachievements.com/a146752/powered-up-achievement","15","17","1.19","","",
"LEGO Marvel Super Heroes 2","The Klaws Are Out","https://www.trueachievements.com/a244127/the-klaws-are-out-achievement","15","18","1.2","","",
"The Excrawlers","Hero level 10","https://www.trueachievements.com/a404316/hero-level-10-achievement","200","240","1.2","Title Update","",
"HITMAN World of Assassination","When No One Else Dares","https://www.trueachievements.com/a318997/when-no-one-else-dares-achievement","15","18","1.2","HITMAN","",
"Ord.","Nightmare.","https://www.trueachievements.com/a312337/nightmare-achievement","16","19","1.2","","",
"Battlefield 1","Counter-sniper","https://www.trueachievements.com/a224170/countersniper-achievement","10","12","1.2","","",
"Halo Infinite","Reclaimer","https://www.trueachievements.com/a346455/reclaimer-achievement","10","12","1.2","Campaign","",
"Battlefield 1","Warbonds","https://www.trueachievements.com/a224172/warbonds-achievement","10","12","1.2","","",
"Gabriels Worlds The Adventure (Xbox One)","Little Destroyer","https://www.trueachievements.com/a399341/little-destroyer-achievement","200","242","1.21","Title Update 4","",
"Ballotron Oceans","Level 26","https://www.trueachievements.com/a459415/level-26-achievement","200","242","1.21","Title Update 4","",
"Gabriels Worlds The Adventure (Xbox One)","610","https://www.trueachievements.com/a438107/610-achievement","200","242","1.21","Title Update 5","",
"Gabriels Worlds The Adventure (Xbox One)","620","https://www.trueachievements.com/a438108/620-achievement","200","242","1.21","Title Update 5","",
"Gabriels Worlds The Adventure (Xbox One)","630","https://www.trueachievements.com/a438109/630-achievement","200","243","1.21","Title Update 5","",
"Gabriels Worlds The Adventure (Xbox One)","640","https://www.trueachievements.com/a438110/640-achievement","200","243","1.21","Title Update 5","",
"Gabriels Worlds The Adventure (Xbox One)","650","https://www.trueachievements.com/a438111/650-achievement","200","243","1.21","Title Update 5","",
"Ord.","Overdose.","https://www.trueachievements.com/a312338/overdose-achievement","16","19","1.21","","",
"Ballotron Oceans","Level 27","https://www.trueachievements.com/a459416/level-27-achievement","200","243","1.21","Title Update 4","",
"Dead Space 2","The Engineer","https://www.trueachievements.com/a78604/the-engineer-achievement","10","12","1.22","","",
"Nexoria: Dungeon Rogue Heroes","Last challenge: Extra Eater","https://www.trueachievements.com/a359327/last-challenge-extra-eater-achievement","200","244","1.22","Title Update 4","",
"Ballotron Oceans","Level 28","https://www.trueachievements.com/a459417/level-28-achievement","200","245","1.22","Title Update 4","",
"Ballotron Oceans","Level 29","https://www.trueachievements.com/a459418/level-29-achievement","200","245","1.22","Title Update 4","",
"Ballotron Oceans","Level 30","https://www.trueachievements.com/a459419/level-30-achievement","200","245","1.22","Title Update 4","",
"Dead Space 2","The Electrician","https://www.trueachievements.com/a78603/the-electrician-achievement","10","12","1.22","","",
"Halo: The Master Chief Collection","Spoilsport","https://www.trueachievements.com/a193104/spoilsport-achievement","5","6","1.22","","",
"Gears 5","Now I Gotta Get Up Again","https://www.trueachievements.com/a282011/now-i-gotta-get-up-again-achievement","10","12","1.22","","",
"Project Starship","Exterminator I","https://www.trueachievements.com/a421155/exterminator-i-achievement","200","245","1.22","Title Update 3","",
"Project Starship","Exterminator II","https://www.trueachievements.com/a421156/exterminator-ii-achievement","200","246","1.23","Title Update 3","",
"Project Starship","Exterminator III","https://www.trueachievements.com/a421157/exterminator-iii-achievement","200","246","1.23","Title Update 3","",
"LEGO Star Wars II: The Original Trilogy","Episode IV complete.","https://www.trueachievements.com/a11987/episode-iv-complete-achievement","50","61","1.23","","",
"Project Starship","Exterminator IV","https://www.trueachievements.com/a421158/exterminator-iv-achievement","200","246","1.23","Title Update 3","",
"Project Starship","Exterminator V","https://www.trueachievements.com/a421159/exterminator-v-achievement","200","246","1.23","Title Update 3","",
"Dead Space 2","Hornet's Nest","https://www.trueachievements.com/a78581/hornets-nest-achievement","30","37","1.23","","",
"The Excrawlers","Reach the Boss Lesovik","https://www.trueachievements.com/a404314/reach-the-boss-lesovik-achievement","200","248","1.24","Title Update","",
"Halo Infinite","Visionary","https://www.trueachievements.com/a346449/visionary-achievement","10","12","1.24","Campaign","",
"KINGDOM HEARTS III","Clash of the Gods","https://www.trueachievements.com/a267325/clash-of-the-gods-achievement","15","18","1.24","","",
"Golf With Your Friends (Windows)","Golf With Your Friends","https://www.trueachievements.com/a303445/golf-with-your-friends-achievement","15","18","1.24","","",
"Battlefield V","Not On My Watch","https://www.trueachievements.com/a263443/not-on-my-watch-achievement","15","18","1.25","","",
"LEGO Marvel Super Heroes 2","Live and Let Fly","https://www.trueachievements.com/a244128/live-and-let-fly-achievement","15","18","1.25","","",
"Dead Space 2","Operation!","https://www.trueachievements.com/a146751/operation-achievement","15","18","1.25","","",
"Halo Infinite","Outpost Discovery","https://www.trueachievements.com/a346453/outpost-discovery-achievement","10","12","1.25","Campaign","",
"NBA 2K21 (Xbox One)","No Contest","https://www.trueachievements.com/a308365/no-contest-achievement","15","18","1.25","","",
"Halo Infinite","Fallen","https://www.trueachievements.com/a346430/fallen-achievement","10","12","1.25","Campaign","",
"Halo Infinite","We're On Our Way","https://www.trueachievements.com/a346458/were-on-our-way-achievement","10","12","1.25","Campaign","",
"The Excrawlers","Skeleton-Mage killer","https://www.trueachievements.com/a404318/skeletonmage-killer-achievement","200","251","1.25","Title Update","",
"Dead Space 2","The Librarian","https://www.trueachievements.com/a78608/the-librarian-achievement","10","12","1.25","","",
"The Excrawlers","Skeleton killer","https://www.trueachievements.com/a404317/skeleton-killer-achievement","200","252","1.26","Title Update","",
"LEGO Star Wars II: The Original Trilogy","Game 20% complete.","https://www.trueachievements.com/a11986/game-20-complete-achievement","20","25","1.26","","",
"Gears 5","A Mouthful of Boom","https://www.trueachievements.com/a282010/a-mouthful-of-boom-achievement","10","12","1.26","","",
"The Excrawlers","Big skeleton killer","https://www.trueachievements.com/a404315/big-skeleton-killer-achievement","200","252","1.26","Title Update","",
"Dead Space 2","Knock Knock","https://www.trueachievements.com/a78583/knock-knock-achievement","25","31","1.26","","",
"EA SPORTS Rory McIlroy PGA TOUR","Graduation","https://www.trueachievements.com/a202229/graduation-achievement","10","12","1.26","","",
"Halo: The Master Chief Collection","Just A Taste","https://www.trueachievements.com/a193477/just-a-taste-achievement","5","6","1.26","","",
"Halo Infinite","Money in the Bank","https://www.trueachievements.com/a346472/money-in-the-bank-achievement","10","12","1.26","Campaign","",
"Red Dead Redemption 2","Breakout","https://www.trueachievements.com/a262367/breakout-achievement","5","6","1.26","","",
"Nexoria: Dungeon Rogue Heroes","Last challenge: Extra Barbarian","https://www.trueachievements.com/a359328/last-challenge-extra-barbarian-achievement","200","254","1.27","Title Update 4","",
"HITMAN 2","Damage Control","https://www.trueachievements.com/a263226/damage-control-achievement","20","25","1.27","Miami","",
"PUBG: Battlegrounds","Devil Inside Me","https://www.trueachievements.com/a259155/devil-inside-me-achievement","10","12","1.27","","True",
"One Leaves","Down the Rabbit Hole","https://www.trueachievements.com/a270014/down-the-rabbit-hole-achievement","150","190","1.27","","",
"Dead Space 2","Cross your Heart, Hope to Die","https://www.trueachievements.com/a146750/cross-your-heart-hope-to-die-achievement","30","38","1.27","","",
"Overwatch 2","Blackjack","https://www.trueachievements.com/a216077/blackjack-achievement","20","25","1.27","","",
"Dead Space 2","Taste of your own Medicine","https://www.trueachievements.com/a78602/taste-of-your-own-medicine-achievement","20","25","1.27","","",
"Dead Space 2","Looking good","https://www.trueachievements.com/a78586/looking-good-achievement","10","12","1.27","","",
"Destiny 2","Heart of the Awoken","https://www.trueachievements.com/a258530/heart-of-the-awoken-achievement","20","25","1.27","Forsaken","",
"Ord.","Coid.","https://www.trueachievements.com/a312377/coid-achievement","16","20","1.27","","",
"HITMAN World of Assassination","The Result of Previous Training","https://www.trueachievements.com/a318927/the-result-of-previous-training-achievement","15","19","1.27","","",
"Scrap Divers","Full Group","https://www.trueachievements.com/a469337/full-group-achievement","200","256","1.28","","",
"Red Dead Redemption 2","Give to the Poor","https://www.trueachievements.com/a262351/give-to-the-poor-achievement","10","12","1.28","","",
"Ord.","Xxx.","https://www.trueachievements.com/a312347/xxx-achievement","16","20","1.28","","",
"NBA 2K21 (Xbox One)","Got What It Takes","https://www.trueachievements.com/a308319/got-what-it-takes-achievement","15","19","1.28","","True",
"Cities: Skylines","Singing In The","https://www.trueachievements.com/a244111/singing-in-the-achievement","5","6","1.28","Snowfall Title Update","",
"Ord.","Uneasy.","https://www.trueachievements.com/a312344/uneasy-achievement","16","20","1.28","","",
"Cities: Skylines","Foggy Weather","https://www.trueachievements.com/a244112/foggy-weather-achievement","5","6","1.28","Snowfall Title Update","",
"Injustice: Gods Among Us","Almost There","https://www.trueachievements.com/a175629/almost-there-achievement","20","25","1.28","","",
"Battlefield V","Heads Down","https://www.trueachievements.com/a263438/heads-down-achievement","30","38","1.28","","",
"Red Dead Redemption 2","To Greener Pastures","https://www.trueachievements.com/a262335/to-greener-pastures-achievement","20","25","1.29","","",
"LEGO Marvel Super Heroes 2","Circus of Crime, Doesn't Pay!","https://www.trueachievements.com/a244129/circus-of-crime-doesnt-pay-achievement","15","19","1.29","","",
"Styx: Shards of Darkness","Goblin Farmer","https://www.trueachievements.com/a231123/goblin-farmer-achievement","30","38","1.29","","",
"Dead Space 2","The Final Sacrifice","https://www.trueachievements.com/a146749/the-final-sacrifice-achievement","50","64","1.29","","",
"Dead Space 2","Made Us Whole","https://www.trueachievements.com/a78587/made-us-whole-achievement","10","12","1.29","","",
"Dead Space 2","The Fugitive","https://www.trueachievements.com/a146748/the-fugitive-achievement","50","64","1.29","","",
"RiME","Unbearable","https://www.trueachievements.com/a231728/unbearable-achievement","50","64","1.29","","",
"Ord.","Zoo.","https://www.trueachievements.com/a312380/zoo-achievement","16","20","1.29","","",
"Nexoria: Dungeon Rogue Heroes","Last challenge: 20 level","https://www.trueachievements.com/a359326/last-challenge-20-level-achievement","200","260","1.3","Title Update 4","",
"Tom Clancy's Rainbow Six Siege X","No Trespassing","https://www.trueachievements.com/a210292/no-trespassing-achievement","15","19","1.3","","",
"RiME","Lighten up","https://www.trueachievements.com/a231716/lighten-up-achievement","25","32","1.3","","",
"NBA 2K21 (Xbox One)","Hard Work Pays Off","https://www.trueachievements.com/a308320/hard-work-pays-off-achievement","15","19","1.3","","True",
"Gears 5","It's Time We Fight Them Together","https://www.trueachievements.com/a282009/its-time-we-fight-them-together-achievement","10","13","1.3","","",
"Ord.","Abandoned.","https://www.trueachievements.com/a312350/abandoned-achievement","16","20","1.3","","",
"HITMAN World of Assassination","Infiltrator","https://www.trueachievements.com/a318984/infiltrator-achievement","15","19","1.3","HITMAN 2","",
"Halo Infinite","Headhunter","https://www.trueachievements.com/a346460/headhunter-achievement","10","13","1.3","Campaign","",
"Battlefield 1","Corporal","https://www.trueachievements.com/a224171/corporal-achievement","10","13","1.31","","",
"Jurassic World Evolution","It's all about control with you","https://www.trueachievements.com/a253992/its-all-about-control-with-you-achievement","5","6","1.31","","",
"HITMAN World of Assassination","Cleared for Field Duty","https://www.trueachievements.com/a318928/cleared-for-field-duty-achievement","15","19","1.31","","",
"Overwatch 2","Level 25","https://www.trueachievements.com/a216060/level-25-achievement","20","26","1.31","","",
"VALORANT","I'm built different.","https://www.trueachievements.com/a435803/im-built-different-achievement","40","52","1.31","","",
"LEGO Marvel Super Heroes 2","Operation: Rebirth","https://www.trueachievements.com/a244162/operation-rebirth-achievement","10","13","1.31","","",
"Costume Quest","Playin' Hooky","https://www.trueachievements.com/a78778/playin-hooky-achievement","5","6","1.31","Grubbins on Ice","",
"Costume Quest","Short Stack","https://www.trueachievements.com/a78780/short-stack-achievement","10","13","1.31","Grubbins on Ice","",
"Super Mega Baseball 2","Gettin' Around","https://www.trueachievements.com/a251173/gettin-around-achievement","20","26","1.32","","",
"HITMAN World of Assassination","Seizing the Opportunity","https://www.trueachievements.com/a318929/seizing-the-opportunity-achievement","15","19","1.32","","",
"Gears 5","Jameson Shipping Depot","https://www.trueachievements.com/a282008/jameson-shipping-depot-achievement","10","13","1.32","","",
"Assassin's Creed Syndicate","Thieftaker","https://www.trueachievements.com/a207533/thieftaker-achievement","20","26","1.32","","",
"HITMAN World of Assassination","Die By the Sword","https://www.trueachievements.com/a318999/die-by-the-sword-achievement","15","19","1.32","HITMAN","",
"Halo Infinite","Please Shut Up","https://www.trueachievements.com/a346478/please-shut-up-achievement","10","13","1.32","Campaign","",
"Ord.","Knowledge.","https://www.trueachievements.com/a312334/knowledge-achievement","16","21","1.32","","",
"King's Quest","Strong Minded","https://www.trueachievements.com/a203096/strong-minded-achievement","55","72","1.32","","",
"Dead Space 2","Brute Juke","https://www.trueachievements.com/a78566/brute-juke-achievement","10","13","1.32","","",
"Costume Quest","Jeepers Peepers","https://www.trueachievements.com/a78777/jeepers-peepers-achievement","5","6","1.32","Grubbins on Ice","",
"King's Quest","Fast Feather","https://www.trueachievements.com/a203097/fast-feather-achievement","55","72","1.32","","",
"Nexoria: Dungeon Rogue Heroes","Last challenge: Extra Moneybags","https://www.trueachievements.com/a359329/last-challenge-extra-moneybags-achievement","200","265","1.32","Title Update 4","",
"LEGO Marvel Super Heroes 2","Ash-gard","https://www.trueachievements.com/a244130/ashgard-achievement","15","19","1.32","","",
"MLB The Show 21","Grand Opening","https://www.trueachievements.com/a326097/grand-opening-achievement","20","26","1.32","","",
"DOOM Eternal","The Hunters Became the Hunted","https://www.trueachievements.com/a295503/the-hunters-became-the-hunted-achievement","30","39","1.32","","",
"LEGO Marvel Super Heroes 2","Searching the Sanctum","https://www.trueachievements.com/a244131/searching-the-sanctum-achievement","15","19","1.32","","",
"Nexoria: Dungeon Rogue Heroes","Last challenge: Extra Abyss","https://www.trueachievements.com/a359330/last-challenge-extra-abyss-achievement","200","265","1.32","Title Update 4","",
"Golf With Your Friends (Windows)","Stay on Target","https://www.trueachievements.com/a303416/stay-on-target-achievement","15","19","1.33","","",
"HITMAN 2","Tactical Strike","https://www.trueachievements.com/a263224/tactical-strike-achievement","20","26","1.33","Santa Fortuna","",
"Costume Quest","Birdbrain Beatdown","https://www.trueachievements.com/a78776/birdbrain-beatdown-achievement","15","20","1.33","Grubbins on Ice","",
"Halo: The Master Chief Collection","Protocol Dictates Action","https://www.trueachievements.com/a288600/protocol-dictates-action-achievement","10","13","1.33","Halo Reach: Campaign","",
"Just Dance: Disney Party 2","Warming up","https://www.trueachievements.com/a209266/warming-up-achievement","10","13","1.33","","",
"Ord.","Boring.","https://www.trueachievements.com/a312366/boring-achievement","16","21","1.33","","",
"The Elder Scrolls Online","The Harborage","https://www.trueachievements.com/a201471/the-harborage-achievement","5","6","1.33","","",
"Fallout 76","Wild West Virginian","https://www.trueachievements.com/a263676/wild-west-virginian-achievement","10","13","1.34","","",
"Jurassic World Evolution","Nothing in Jurassic World is natural","https://www.trueachievements.com/a254007/nothing-in-jurassic-world-is-natural-achievement","10","13","1.34","","",
"King's Quest","The End?","https://www.trueachievements.com/a203098/the-end-achievement","100","134","1.34","","",
"Halo Infinite","Unearthed","https://www.trueachievements.com/a346431/unearthed-achievement","10","13","1.34","Campaign","",
"Forza Horizon 2","Welcome to Saint-Martin","https://www.trueachievements.com/a190133/welcome-to-saintmartin-achievement","25","33","1.34","","",
"Dead by Daylight","Apt Survivor","https://www.trueachievements.com/a235022/apt-survivor-achievement","10","13","1.34","","",
"Ord.","Alektorophobia.","https://www.trueachievements.com/a312324/alektorophobia-achievement","16","21","1.34","","",
"Ord.","Quiet.","https://www.trueachievements.com/a312375/quiet-achievement","16","21","1.34","","",
"Call of Duty","BO6 - Red Carpet","https://www.trueachievements.com/a453679/bo6--red-carpet-achievement","30","40","1.34","Call of Duty: Black Ops 6","",
"Halo Infinite","Grab Some Cover","https://www.trueachievements.com/a346448/grab-some-cover-achievement","10","13","1.34","Campaign","",
"Costume Quest","Revolutionary Hero","https://www.trueachievements.com/a78779/revolutionary-hero-achievement","15","20","1.34","Grubbins on Ice","",
"LEGO Star Wars II: The Original Trilogy","Episode V complete.","https://www.trueachievements.com/a11985/episode-v-complete-achievement","50","67","1.34","","",
"Battlefield 1","Operations","https://www.trueachievements.com/a224168/operations-achievement","10","13","1.34","","",
"Golf With Your Friends (Windows)","TIMBER!","https://www.trueachievements.com/a303417/timber-achievement","15","20","1.34","","",
"Battlefield 1","Play the Objective","https://www.trueachievements.com/a224169/play-the-objective-achievement","10","13","1.34","","",
"Gears 5","That Old COG Technology","https://www.trueachievements.com/a282007/that-old-cog-technology-achievement","10","13","1.34","","",
"HITMAN World of Assassination","Damage Control","https://www.trueachievements.com/a318986/damage-control-achievement","15","20","1.34","HITMAN 2","",
"TT Isle of Man Ride on the Edge","Newcomer","https://www.trueachievements.com/a249150/newcomer-achievement","10","13","1.35","","",
"Halo: The Master Chief Collection","Junior Detective","https://www.trueachievements.com/a201788/junior-detective-achievement","10","13","1.35","Halo 3: ODST","",
"For Honor","Dominator","https://www.trueachievements.com/a229475/dominator-achievement","10","13","1.35","","",
"Jeopardy!","Fastest player alive","https://www.trueachievements.com/a243717/fastest-player-alive-achievement","50","67","1.35","","",
"Assassin's Creed Syndicate","A Quick and Reliable Remedy","https://www.trueachievements.com/a207519/a-quick-and-reliable-remedy-achievement","20","27","1.35","","",
"Halo Infinite","Evasive Maneuvers","https://www.trueachievements.com/a346447/evasive-maneuvers-achievement","10","13","1.36","Campaign","",
"Halo: The Master Chief Collection","Two Places, Same Time","https://www.trueachievements.com/a201789/two-places-same-time-achievement","10","13","1.36","Halo 3: ODST","",
"KINGDOM HEARTS III","Say Cheese!","https://www.trueachievements.com/a267358/say-cheese-achievement","10","13","1.36","","",
"For Honor","Unfair Fight","https://www.trueachievements.com/a229462/unfair-fight-achievement","10","13","1.36","","",
"Unto The End","Calm under pressure","https://www.trueachievements.com/a316139/calm-under-pressure-achievement","90","122","1.36","","",
"Halo: The Master Chief Collection","All Out of Bubblegum","https://www.trueachievements.com/a193478/all-out-of-bubblegum-achievement","10","13","1.36","","",
"Ord.","Youth.","https://www.trueachievements.com/a312348/youth-achievement","16","21","1.36","","",
"Ord.","Wrangler.","https://www.trueachievements.com/a312361/wrangler-achievement","16","21","1.36","","",
