"GameName","AchievementName","AchievementPageURL","Gamerscore","TAScore","TARatio","DLCName","UnlockDate",
"Starbound (Windows)","A Cheeky Chore","https://www.trueachievements.com/a317016/a-cheeky-chore-achievement","20","30","1.54","","2026-01-25T18:41:10.000Z",
"Starbound (Windows)","A Helping Hand","https://www.trueachievements.com/a317015/a-helping-hand-achievement","20","30","1.54","","2026-01-25T06:49:48.000Z",
"Starbound (Windows)","Nox's Apprentice","https://www.trueachievements.com/a317023/noxs-apprentice-achievement","20","30","1.54","","2026-01-25T05:49:06.000Z",
"Starbound (Windows)","Armour Aficionado","https://www.trueachievements.com/a317031/armour-aficionado-achievement","20","30","1.54","","2026-01-24T07:33:13.000Z",
"Dead by Daylight","Not Today","https://www.trueachievements.com/a260314/not-today-achievement","10","49","4.99","Shattered Bloodline","2026-01-24T05:18:57.000Z",
"Dead by Daylight","Rescue Mission","https://www.trueachievements.com/a316677/rescue-mission-achievement","10","37","3.7","A Binding of Kin","2026-01-24T04:12:46.000Z",
"The LEGO Movie Videogame","No Way, This Is My Jam","https://www.trueachievements.com/a184084/no-way-this-is-my-jam-achievement","20","48","2.44","","2026-01-24T01:54:17.000Z",
"Dead by Daylight","Death Flight","https://www.trueachievements.com/a592949/death-flight-achievement","40","318","7.95","Sinister Grace","2026-01-23T05:38:50.000Z",
"ReactorX 2","Level 25","https://www.trueachievements.com/a426369/level-25-achievement","200","217","1.08","Title Update 3","2026-01-23T02:42:18.000Z",
"ReactorX 2","Level 24","https://www.trueachievements.com/a426368/level-24-achievement","200","216","1.08","Title Update 3","2026-01-23T02:42:08.000Z",
"ReactorX 2","Level 23","https://www.trueachievements.com/a426367/level-23-achievement","200","216","1.08","Title Update 3","2026-01-23T02:42:05.000Z",
"ReactorX 2","Level 22","https://www.trueachievements.com/a426366/level-22-achievement","200","216","1.08","Title Update 3","2026-01-23T02:41:33.000Z",
"ReactorX 2","Level 21","https://www.trueachievements.com/a426365/level-21-achievement","200","216","1.08","Title Update 3","2026-01-23T02:41:16.000Z",
"ROBLOX","20 Day Roll","https://www.trueachievements.com/a211720/20-day-roll-achievement","200","528","2.64","","2026-01-22T03:30:14.000Z",
"PowerWash Simulator","Sanguinius Would Be Proud","https://www.trueachievements.com/a427070/sanguinius-would-be-proud-achievement","30","76","2.54","Warhammer 40,000 Special Pack","2026-01-22T01:54:29.000Z",
"Dead by Daylight","Adept Spirit","https://www.trueachievements.com/a260312/adept-spirit-achievement","20","114","5.74","Shattered Bloodline","2026-01-21T05:30:36.000Z",
"PowerWash Simulator","Descend into Shadow, Rise into Light","https://www.trueachievements.com/a427075/descend-into-shadow-rise-into-light-achievement","10","26","2.64","Warhammer 40,000 Special Pack","2026-01-20T06:50:54.000Z",
"Untitled Goose Game","The Back Gardens","https://www.trueachievements.com/a289637/the-back-gardens-achievement","70","103","1.47","","2026-01-20T05:40:21.000Z",
"PowerWash Simulator","Sacristan's Duty","https://www.trueachievements.com/a427069/sacristans-duty-achievement","30","73","2.43","Warhammer 40,000 Special Pack","2026-01-20T03:43:28.000Z",
"PowerWash Simulator","The Emperor Protects","https://www.trueachievements.com/a427073/the-emperor-protects-achievement","10","26","2.62","Warhammer 40,000 Special Pack","2026-01-20T01:49:19.000Z",
"Dead by Daylight","Shine On","https://www.trueachievements.com/a423629/shine-on-achievement","10","42","4.27","Alan Wake Title Update","2026-01-19T22:20:47.000Z",
"Dead by Daylight","Thrill of the Chase","https://www.trueachievements.com/a385761/thrill-of-the-chase-achievement","20","129","6.49","Tools of Torment","2026-01-19T20:25:55.000Z",
"Dead by Daylight","Adept Skull Merchant","https://www.trueachievements.com/a385763/adept-skull-merchant-achievement","20","147","7.39","Tools of Torment","2026-01-19T19:58:31.000Z",
"Dead by Daylight","Caws of Death","https://www.trueachievements.com/a348486/caws-of-death-achievement","20","179","8.99","Portrait of a Murder","2026-01-19T19:26:20.000Z",
"Goat Simulator 3: Xbox One Edition","Try Hard With a Vengeance","https://www.trueachievements.com/a453742/try-hard-with-a-vengeance-achievement","50","175","3.51","Multiverse of Nonsense","2026-01-19T03:40:13.000Z",
"Goat Simulator 3: Xbox One Edition","Lousy References","https://www.trueachievements.com/a453732/lousy-references-achievement","50","179","3.58","Multiverse of Nonsense","2026-01-19T03:38:20.000Z",
"Goat Simulator 3: Xbox One Edition","Ultrasonic Speedy","https://www.trueachievements.com/a453740/ultrasonic-speedy-achievement","50","181","3.62","Multiverse of Nonsense","2026-01-19T03:27:35.000Z",
"Goat Simulator 3: Xbox One Edition","You Gotta Licket to Ride","https://www.trueachievements.com/a453745/you-gotta-licket-to-ride-achievement","50","172","3.44","Multiverse of Nonsense","2026-01-19T03:15:58.000Z",
"Goat Simulator 3: Xbox One Edition","It's All a Simulation","https://www.trueachievements.com/a453746/its-all-a-simulation-achievement","160","484","3.03","Multiverse of Nonsense","2026-01-19T03:01:35.000Z",
"Goat Simulator 3: Xbox One Edition","Gastroscopy","https://www.trueachievements.com/a453738/gastroscopy-achievement","15","45","3.03","Multiverse of Nonsense","2026-01-19T02:58:37.000Z",
"Goat Simulator 3: Xbox One Edition","Wow, Such Instincts","https://www.trueachievements.com/a453736/wow-such-instincts-achievement","15","57","3.86","Multiverse of Nonsense","2026-01-19T02:48:48.000Z",
"Goat Simulator 3: Xbox One Edition","Appliance in Disguise","https://www.trueachievements.com/a453741/appliance-in-disguise-achievement","15","45","3.01","Multiverse of Nonsense","2026-01-19T02:35:55.000Z",
"Goat Simulator 3: Xbox One Edition","So Aerodynamic","https://www.trueachievements.com/a453743/so-aerodynamic-achievement","30","108","3.61","Multiverse of Nonsense","2026-01-19T00:48:10.000Z",
"Goat Simulator 3: Xbox One Edition","Dr. Pheelsgood","https://www.trueachievements.com/a453744/dr-pheelsgood-achievement","30","100","3.36","Multiverse of Nonsense","2026-01-18T23:20:08.000Z",
"Goat Simulator 3: Xbox One Edition","Goat Got Brains","https://www.trueachievements.com/a453739/goat-got-brains-achievement","15","42","2.8","Multiverse of Nonsense","2026-01-18T19:48:07.000Z",
"Dead by Daylight","Don’t Open, Dead Inside","https://www.trueachievements.com/a581350/dont-open-dead-inside-achievement","20","128","6.4","The Walking Dead Title Update","2026-01-18T04:53:25.000Z",
"Dead by Daylight","Deep Cleansing","https://www.trueachievements.com/a235049/deep-cleansing-achievement","40","89","2.24","","2026-01-18T04:30:52.000Z",
"Dead by Daylight","Risk it all","https://www.trueachievements.com/a235024/risk-it-all-achievement","20","32","1.63","","2026-01-18T04:11:07.000Z",
"Dead by Daylight","Old West Oasis","https://www.trueachievements.com/a295132/old-west-oasis-achievement","10","20","2.05","Chains of Hate","2026-01-18T03:50:55.000Z",
"Dead by Daylight","Fleet of Foot","https://www.trueachievements.com/a355180/fleet-of-foot-achievement","10","52","5.27","Sadako Rising Title Update","2026-01-18T03:44:03.000Z",
"Dead by Daylight","Looter","https://www.trueachievements.com/a243862/looter-achievement","10","24","2.47","A Nightmare on Elm Street Title Update","2026-01-18T03:40:10.000Z",
"Goat Simulator 3: Xbox One Edition","You Mined Too Greedily and Too Deep","https://www.trueachievements.com/a453734/you-mined-too-greedily-and-too-deep-achievement","15","39","2.66","Multiverse of Nonsense","2026-01-18T02:07:08.000Z",
"Goat Simulator 3: Xbox One Edition","I Love History","https://www.trueachievements.com/a453735/i-love-history-achievement","30","100","3.34","Multiverse of Nonsense","2026-01-18T01:17:30.000Z",
"Goat Simulator 3: Xbox One Edition","Hell of a Ride","https://www.trueachievements.com/a453733/hell-of-a-ride-achievement","30","93","3.1","Multiverse of Nonsense","2026-01-18T00:02:44.000Z",
"Goat Simulator 3: Xbox One Edition","This Took Half My Life","https://www.trueachievements.com/a453737/this-took-half-my-life-achievement","15","31","2.13","Multiverse of Nonsense","2026-01-17T04:49:50.000Z",
"Goat Simulator 3: Xbox One Edition","G.O.A.T","https://www.trueachievements.com/a453731/goat-achievement","160","905","5.65","","2026-01-16T20:35:20.000Z",
"Goat Simulator 3: Xbox One Edition","I Watched the Intro","https://www.trueachievements.com/a453693/i-watched-the-intro-achievement","15","21","1.44","","2026-01-16T20:35:18.000Z",
"Goat Simulator 3: Xbox One Edition","French Fika","https://www.trueachievements.com/a453705/french-fika-achievement","15","44","2.95","","2026-01-16T20:31:33.000Z",
"Goat Simulator 3: Xbox One Edition","Try Hard 2","https://www.trueachievements.com/a453730/try-hard-2-achievement","50","264","5.28","","2026-01-16T18:54:18.000Z",
"PowerWash Simulator","Cadia Stands!","https://www.trueachievements.com/a427068/cadia-stands-achievement","30","71","2.39","Warhammer 40,000 Special Pack","2026-01-16T03:44:01.000Z",
"PowerWash Simulator","Astra Militarum's Secret Weapon","https://www.trueachievements.com/a427074/astra-militarums-secret-weapon-achievement","10","26","2.61","Warhammer 40,000 Special Pack","2026-01-16T02:56:02.000Z",
"Dead by Daylight","Working Overtime","https://www.trueachievements.com/a238797/working-overtime-achievement","10","20","2","Halloween Title Update","2026-01-16T02:00:07.000Z",
"PowerWash Simulator","Degrees of Redemption","https://www.trueachievements.com/a427072/degrees-of-redemption-achievement","10","25","2.55","Warhammer 40,000 Special Pack","2026-01-15T06:45:58.000Z",
"PowerWash Simulator","Eternal Service","https://www.trueachievements.com/a427067/eternal-service-achievement","20","47","2.36","Warhammer 40,000 Special Pack","2026-01-15T06:45:57.000Z",
"PowerWash Simulator","Courage and Honor!","https://www.trueachievements.com/a427066/courage-and-honor-achievement","20","47","2.35","Warhammer 40,000 Special Pack","2026-01-15T05:03:07.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Speedy","https://www.trueachievements.com/a595081/speedy-achievement","150","321","2.14","","2026-01-15T02:14:24.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","It All Fits Together","https://www.trueachievements.com/a595080/it-all-fits-together-achievement","100","207","2.07","","2026-01-15T02:07:33.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Who-ville","https://www.trueachievements.com/a595079/whoville-achievement","100","199","1.99","","2026-01-15T02:03:52.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","No Longer 2 Sizes Too Small","https://www.trueachievements.com/a595078/no-longer-2-sizes-too-small-achievement","75","145","1.94","","2026-01-14T23:40:49.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Snowball Fight","https://www.trueachievements.com/a595077/snowball-fight-achievement","75","146","1.94","","2026-01-14T23:27:44.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Countryside","https://www.trueachievements.com/a595075/countryside-achievement","50","94","1.89","","2026-01-14T23:22:39.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Christmas Spirit","https://www.trueachievements.com/a595083/christmas-spirit-achievement","200","426","2.13","","2026-01-14T14:17:26.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Christmas Feast","https://www.trueachievements.com/a595082/christmas-feast-achievement","150","302","2.01","","2026-01-14T14:17:26.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Santa","https://www.trueachievements.com/a595073/santa-achievement","100","184","1.84","","2026-01-13T14:20:02.000Z",
"PowerWash Simulator","We March for Macragge!","https://www.trueachievements.com/a427071/we-march-for-macragge-achievement","10","25","2.59","Warhammer 40,000 Special Pack","2026-01-13T03:24:08.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Hide and Seek","https://www.trueachievements.com/a595074/hide-and-seek-achievement","75","131","1.75","","2026-01-13T01:41:00.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Up, Up and Away!","https://www.trueachievements.com/a595076/up-up-and-away-achievement","50","92","1.85","","2026-01-13T01:13:49.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","The Grinch's Cave","https://www.trueachievements.com/a595071/the-grinchs-cave-achievement","75","127","1.69","","2026-01-13T00:04:28.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Candy Cane Swing","https://www.trueachievements.com/a595070/candy-cane-swing-achievement","50","68","1.36","","2026-01-12T22:46:18.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Jump up!","https://www.trueachievements.com/a595069/jump-up-achievement","50","62","1.25","","2026-01-12T21:05:10.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Puzzler","https://www.trueachievements.com/a595068/puzzler-achievement","50","61","1.22","","2026-01-12T21:03:36.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Presents, Presents Everywhere","https://www.trueachievements.com/a595072/presents-presents-everywhere-achievement","50","61","1.22","","2026-01-12T20:59:59.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Santa's Little Yelper","https://www.trueachievements.com/a595066/santas-little-yelper-achievement","50","51","1.02","","2026-01-12T20:54:04.000Z",
"The Grinch: Christmas Adventures - Merry & Mischievous Edition","Jump!","https://www.trueachievements.com/a595067/jump-achievement","50","56","1.12","","2026-01-12T20:50:18.000Z",
"ROBLOX","10 Day Roll","https://www.trueachievements.com/a211719/10-day-roll-achievement","200","367","1.83","","2026-01-12T05:55:34.000Z",
"Goat Simulator 3: Xbox One Edition","Beauty, Mindfulness and Meditation","https://www.trueachievements.com/a453712/beauty-mindfulness-and-meditation-achievement","30","79","2.64","","2026-01-12T05:53:04.000Z",
"Goat Simulator 3: Xbox One Edition","Black Market","https://www.trueachievements.com/a453713/black-market-achievement","30","89","2.98","","2026-01-12T05:45:09.000Z",
"Goat Simulator 3: Xbox One Edition","Cannibanana","https://www.trueachievements.com/a453702/cannibanana-achievement","15","48","3.26","","2026-01-12T05:42:41.000Z",
"Goat Simulator 3: Xbox One Edition","Egg Simulator","https://www.trueachievements.com/a453708/egg-simulator-achievement","30","67","2.23","","2026-01-12T05:36:11.000Z",
"Goat Simulator 3: Xbox One Edition","Move! That! Bus!","https://www.trueachievements.com/a453710/move-that-bus-achievement","30","129","4.31","","2026-01-12T03:54:45.000Z",
"Goat Simulator 3: Xbox One Edition","Car Cave","https://www.trueachievements.com/a453714/car-cave-achievement","30","89","2.99","","2026-01-12T03:45:05.000Z",
"Goat Simulator 3: Xbox One Edition","Crocsquatch","https://www.trueachievements.com/a453701/crocsquatch-achievement","15","53","3.55","","2026-01-12T03:12:01.000Z",
"Goat Simulator 3: Xbox One Edition","[REDACTED]","https://www.trueachievements.com/a453709/redacted-achievement","30","103","3.43","","2026-01-12T03:08:26.000Z",
"Goat Simulator 3: Xbox One Edition","Streaking","https://www.trueachievements.com/a453697/streaking-achievement","15","52","3.52","","2026-01-12T03:07:37.000Z",
"Goat Simulator 3: Xbox One Edition","Welcome to Earth","https://www.trueachievements.com/a453721/welcome-to-earth-achievement","15","43","2.89","","2026-01-12T03:05:40.000Z",
"Goat Simulator 3: Xbox One Edition","San Angora: Become Human","https://www.trueachievements.com/a453716/san-angora-become-human-achievement","30","78","2.62","","2026-01-12T03:03:09.000Z",
"Goat Simulator 3: Xbox One Edition","A Center for Ants?","https://www.trueachievements.com/a453707/a-center-for-ants-achievement","30","88","2.96","","2026-01-12T02:53:25.000Z",
"Goat Simulator 3: Xbox One Edition","Don't touch the servers","https://www.trueachievements.com/a453729/dont-touch-the-servers-achievement","50","146","2.93","","2026-01-12T02:36:36.000Z",
"Goat Simulator 3: Xbox One Edition","New Goat Order","https://www.trueachievements.com/a453728/new-goat-order-achievement","15","42","2.84","","2026-01-12T02:14:05.000Z",
"Goat Simulator 3: Xbox One Edition","You Trusted Your Instincts","https://www.trueachievements.com/a453704/you-trusted-your-instincts-achievement","15","82","5.52","","2026-01-12T02:09:15.000Z",
"Goat Simulator 3: Xbox One Edition","Certified Fresh","https://www.trueachievements.com/a453718/certified-fresh-achievement","30","136","4.55","","2026-01-12T01:44:12.000Z",
"Goat Simulator 3: Xbox One Edition","Raider of the Lost Parking Garage","https://www.trueachievements.com/a453703/raider-of-the-lost-parking-garage-achievement","15","36","2.46","","2026-01-12T00:29:52.000Z",
"Goat Simulator 3: Xbox One Edition","Nasty!","https://www.trueachievements.com/a453694/nasty-achievement","15","40","2.66","","2026-01-11T03:59:18.000Z",
"Goat Simulator 3: Xbox One Edition","Club Mohair","https://www.trueachievements.com/a453715/club-mohair-achievement","30","103","3.44","","2026-01-11T01:18:07.000Z",
"Goat Simulator 3: Xbox One Edition","Goat Queen","https://www.trueachievements.com/a453720/goat-queen-achievement","50","105","2.11","","2026-01-10T23:35:22.000Z",
"Goat Simulator 3: Xbox One Edition","Shadow Syndicate","https://www.trueachievements.com/a453726/shadow-syndicate-achievement","15","38","2.53","","2026-01-10T23:15:46.000Z",
"Goat Simulator 3: Xbox One Edition","Where is It?","https://www.trueachievements.com/a453700/where-is-it-achievement","15","39","2.66","","2026-01-10T22:42:43.000Z",
"Goat Simulator 3: Xbox One Edition","Real Buoy","https://www.trueachievements.com/a453706/real-buoy-achievement","15","31","2.12","","2026-01-10T16:12:14.000Z",
"Goat Simulator 3: Xbox One Edition","Secret Society","https://www.trueachievements.com/a453725/secret-society-achievement","15","34","2.29","","2026-01-10T15:22:31.000Z",
"Goat Simulator 3: Xbox One Edition","Into the Matrix","https://www.trueachievements.com/a453711/into-the-matrix-achievement","15","34","2.3","","2026-01-10T15:07:08.000Z",
"Goat Simulator 3: Xbox One Edition","401(K.O.)","https://www.trueachievements.com/a453699/401ko-achievement","15","37","2.53","","2026-01-10T04:33:18.000Z",
"Goat Simulator 3: Xbox One Edition","Covert Consortium","https://www.trueachievements.com/a453724/covert-consortium-achievement","15","30","2.01","","2026-01-10T03:26:49.000Z",
"Goat Simulator 3: Xbox One Edition","Synchronization Complete","https://www.trueachievements.com/a453727/synchronization-complete-achievement","15","30","2.05","","2026-01-10T03:21:19.000Z",
"Goat Simulator 3: Xbox One Edition","Daredevil","https://www.trueachievements.com/a453717/daredevil-achievement","30","140","4.69","","2026-01-10T03:13:00.000Z",
"Goat Simulator 3: Xbox One Edition","Who Baywatches the Baywatch?","https://www.trueachievements.com/a453698/who-baywatches-the-baywatch-achievement","15","38","2.54","","2026-01-10T03:06:18.000Z",
"Goat Simulator 3: Xbox One Edition","Rogue Guild","https://www.trueachievements.com/a453723/rogue-guild-achievement","15","26","1.75","","2026-01-10T01:56:04.000Z",
"Goat Simulator 3: Xbox One Edition","Private Club","https://www.trueachievements.com/a453722/private-club-achievement","15","23","1.54","","2026-01-10T01:14:50.000Z",
"Goat Simulator 3: Xbox One Edition","What a Waste of Money","https://www.trueachievements.com/a453695/what-a-waste-of-money-achievement","15","28","1.88","","2026-01-09T23:22:26.000Z",
"Goat Simulator 3: Xbox One Edition","Reach the Stratosphere","https://www.trueachievements.com/a453696/reach-the-stratosphere-achievement","15","24","1.61","","2026-01-09T20:19:29.000Z",
"Hades","Is There No Escape?","https://www.trueachievements.com/a330980/is-there-no-escape-achievement","50","77","1.54","","2026-01-09T05:27:44.000Z",
"Dead by Daylight","Adept Artist","https://www.trueachievements.com/a348488/adept-artist-achievement","20","133","6.69","Portrait of a Murder","2026-01-07T21:20:15.000Z",
"Puzzle Galaxy Xbox Edition","Kitty!","https://www.trueachievements.com/a609511/kitty-achievement","90","103","1.14","","2026-01-07T07:20:29.000Z",
"Puzzle Galaxy Xbox Edition","Open Season","https://www.trueachievements.com/a609510/open-season-achievement","90","103","1.15","","2026-01-07T07:20:00.000Z",
"Puzzle Galaxy Xbox Edition","It's a peaceful life","https://www.trueachievements.com/a609509/its-a-peaceful-life-achievement","30","34","1.14","","2026-01-07T07:19:19.000Z",
"Puzzle Galaxy Xbox Edition","Into the Wasteland!","https://www.trueachievements.com/a609508/into-the-wasteland-achievement","30","34","1.15","","2026-01-07T07:17:44.000Z",
"Puzzle Galaxy Xbox Edition","This area is closed","https://www.trueachievements.com/a609507/this-area-is-closed-achievement","30","34","1.15","","2026-01-07T07:16:59.000Z",
"Puzzle Galaxy Xbox Edition","I can't see","https://www.trueachievements.com/a609506/i-cant-see-achievement","30","34","1.15","","2026-01-07T07:15:59.000Z",
"Puzzle Galaxy Xbox Edition","Museum worthy","https://www.trueachievements.com/a609505/museum-worthy-achievement","30","34","1.15","","2026-01-07T07:14:56.000Z",
"Puzzle Galaxy Xbox Edition","Fog's thick as milk...","https://www.trueachievements.com/a609504/fogs-thick-as-milk-achievement","30","34","1.14","","2026-01-07T07:13:56.000Z",
"Puzzle Galaxy Xbox Edition","Mini Zoo","https://www.trueachievements.com/a609503/mini-zoo-achievement","30","34","1.13","","2026-01-07T07:11:38.000Z",
"Puzzle Galaxy Xbox Edition","Ultimate Challenge","https://www.trueachievements.com/a609516/ultimate-challenge-achievement","100","131","1.31","","2026-01-07T07:08:06.000Z",
"Puzzle Galaxy Xbox Edition","Sugar overdose","https://www.trueachievements.com/a609502/sugar-overdose-achievement","30","33","1.13","","2026-01-07T07:08:00.000Z",
"Puzzle Galaxy Xbox Edition","Good Boy","https://www.trueachievements.com/a609501/good-boy-achievement","30","33","1.12","","2026-01-07T05:49:00.000Z",
"Puzzle Galaxy Xbox Edition","Hard work","https://www.trueachievements.com/a609513/hard-work-achievement","90","140","1.56","","2026-01-07T05:47:53.000Z",
"Puzzle Galaxy Xbox Edition","Under the sea","https://www.trueachievements.com/a609500/under-the-sea-achievement","30","33","1.11","","2026-01-07T05:47:52.000Z",
"Puzzle Galaxy Xbox Edition","Turn the valve!","https://www.trueachievements.com/a609499/turn-the-valve-achievement","30","32","1.09","","2026-01-06T23:05:03.000Z",
"Puzzle Galaxy Xbox Edition","Space puzzles","https://www.trueachievements.com/a609498/space-puzzles-achievement","15","16","1.08","","2026-01-06T23:04:06.000Z",
